FSO_Att,Absolute Humidity,Wind Speed,Visibility,Time,Wind Speed Max,Temperature,Temperature Difference,Particulate,Distance,SYNOP Code
7.913289195,17.59570861,3.057066326,65884.51846,9,6.863808431,26.06784604,13.63,0,2115.338398,0
7.451175865,17.54969315,2.727909941,64963.41092,9,6.468903336,25.64570319,-0.54,0,2113.999257,0
7.072747256,17.29023008,1.674809959,54794.28107,10,2.826915846,25.65338306,-0.24,0,2118.689047,0
6.949288458,16.82087984,0.962068028,50205.64159,10,2.780643206,25.64627127,-0.16,0,2114.632339,0
7.361051751,16.81381986,1.881007087,59038.32599,10,4.476297771,25.6730891,-0.1,0,2116.786055,0
7.265417915,16.84020429,1.294878707,59097.04268,10,2.858242078,25.57326797,-0.16,0,2119.633353,0
7.42806069,16.96624254,0.881235336,47843.61325,11,2.27505376,25.36644501,-0.26,0,2115.7234,0
7.547327374,16.91264586,1.38405824,52880.62473,11,3.137453165,25.40572842,-0.16,0,2117.565388,0
7.1056362,16.80806431,1.724819867,51647.98311,11,2.632279549,25.45061846,-0.1,0,2118.303407,0
7.341406032,16.65385906,1.488488984,32401.70706,11,3.4646198,25.24301965,-0.06,0,2117.607523,0
7.821432285,17.05599368,1.23943966,38848.12813,11,2.273162406,25.28562861,-0.1,0,2117.883317,0
9.454984283,17.1108823,1.130489362,22307.09073,12,2.281437294,25.06597764,-0.4,31.16695791,2121.742706,6
10.22524415,17.0942515,1.442658145,16474.11848,12,2.391959186,25.04619793,-0.34,38.63601908,2113.301859,6
10.46423485,17.1778143,1.376955561,17190.52366,12,2.283721356,24.96831477,-0.36,38.34843431,2119.552177,6
9.649170728,17.26282362,1.588138013,26968.35883,12,2.496840842,24.96156582,-0.4,32.37006139,2121.130895,8
9.300406211,17.18550481,1.722910493,28722.3367,12,3.03123754,24.96750288,-0.4,10.80832635,2121.244675,5
8.871023702,17.22935727,1.53555848,34496.42722,12,2.443233182,25.04409965,-0.4,11.05448395,2118.661428,5
7.640623232,17.38440964,0.63797909,39996.21368,12,1.270887293,24.79868285,-0.56,0,2117.738261,0
8.069682987,17.25058647,0.584221703,35093.54148,12,1.319417833,24.91588744,-0.44,17.76636216,2115.856825,5
8.162878664,17.34049979,0.765631995,31631.18882,12,2.51811432,25.14605719,-0.34,17.86135907,2114.046745,5
8.171940633,17.58348619,0.874095539,39597.93354,12,1.614557696,24.47617249,-0.9,0,2113.551707,8
8.747851416,18.31622893,3.22694932,27571.92477,13,5.529534255,23.062506,-1.74,0,2119.374134,0
8.404173072,18.36236831,3.181891594,24911.98442,13,6.730922068,23.10223372,-0.84,0,2116.934164,0
9.250251472,18.11167398,3.785545464,50515.96008,13,7.979962334,23.71072975,0.36,0,2112.534157,0
8.162212209,18.13881634,1.671405157,59652.03365,13,4.493013951,23.63551221,0.64,0,2116.505556,0
7.021262531,18.13907265,1.10141133,64047.26315,14,2.199475173,23.45880553,-0.26,0,2115.61357,0
7.384622111,17.80925006,1.819292332,69112.3967,14,2.930516259,23.68906485,0,0,2120.629213,0
8.547085917,16.83956296,3.7379578,63856.26572,14,5.851655539,24.17816946,0.94,0,2120.552454,0
8.518833368,15.67697499,3.266221517,74999.2471,15,6.097788121,25.67604513,2.04,0,2115.386078,0
8.0295758,16.21028524,1.467025073,73180.46004,15,4.055390964,24.35706286,0.51,0,2121.820416,0
8.269696705,15.45453745,2.454674042,69577.1105,15,5.922325653,24.52978113,0.28,0,2116.330356,0
