RFL_Att,Temperature,Relative Humidity,Visibility (m),Temperature Difference,Absolute Humidity,Time,Frequency,Distance,Rain Intensity,SYNOP Code
4.941874823,26.13400468,71.82061797,66784.84434,13.63,17.67248369,9,73500000000,2114.405171,0,0
4.328733967,25.5878517,72.88552077,71044.74326,-0.54,17.47085023,9,73500000000,2121.637684,0,0
4.356399129,25.68985617,72.43601125,51668.60394,-0.24,17.26514499,10,73500000000,2112.8686,0,0
4.340439578,25.56692356,70.81743902,50124.79678,-0.16,16.87340919,10,73500000000,2115.440881,0,0
4.322831394,25.62809043,71.20656925,58443.3452,-0.1,16.8202669,10,73500000000,2115.840072,0,0
4.162335435,25.40098117,71.27713641,61272.97036,-0.16,16.8621004,10,73500000000,2117.471813,0,0
4.408579307,25.27473969,72.25539477,46478.55013,-0.26,16.93778135,11,73500000000,2116.509435,0,0
4.417458563,25.49091848,71.14781503,50247.96831,-0.16,16.80035243,11,73500000000,2112.372567,0,0
4.343371599,25.37776356,71.10879458,52886.95376,-0.1,16.77554452,11,73500000000,2112.042053,0,0
4.591108984,25.19531268,71.70658989,32271.32564,-0.06,16.6993372,11,73500000000,2118.089162,0,0
4.442274676,25.25814504,72.55803379,39580.02894,-0.1,17.03581021,11,73500000000,2121.725727,0,0
6.287399777,24.97078115,73.54189547,16967.41185,-0.4,17.12948964,12,73500000000,2112.551067,0.308828072,6
6.424440733,25.15835094,73.81970833,16156.80469,-0.34,17.10795244,12,73500000000,2112.132772,0.318150645,6
6.919438405,24.98567074,74.80004943,17831.63259,-0.36,17.17912422,12,73500000000,2118.317987,0.139487125,6
6.074108312,25.00504556,75.14458842,32657.6502,-0.4,17.33662936,12,73500000000,2115.557917,0.037763642,6
5.434616281,24.9243679,74.79213626,26270.45821,-0.4,17.35893736,12,73500000000,2113.047929,0,5
4.933747878,24.87024751,74.89067621,40321.32955,-0.5,17.31254779,12,73500000000,2118.749106,0,0
5.407008391,25.00248236,74.59200466,30346.6945,-0.44,17.18354987,12,73500000000,2112.166835,0,5
5.592505162,25.06072437,74.87017601,32428.25964,-0.34,17.26311629,12,73500000000,2113.361264,0,5
5.749794966,24.92013313,75.22160235,34080.09792,-0.4,17.36453306,12,73500000000,2117.366842,0,8
5.371501469,24.40718322,79.42790914,39469.82926,-0.9,17.61370364,12,73500000000,2112.37046,0,8
5.080501883,23.04444554,88.9689217,27421.19342,-1.74,18.30056363,13,73500000000,2118.72851,0,0
4.741447482,23.23274597,88.47541687,24381.84271,-0.84,18.36898525,13,73500000000,2116.434534,0,0
4.240153267,23.62656045,84.163124,52802.13806,0.36,18.1793376,13,73500000000,2114.288225,0,0
4.205526579,23.64479073,84.6465944,59572.50662,0.64,18.06739842,13,73500000000,2113.38144,0,0
3.841548607,23.54409048,86.19547966,67035.22141,-0.26,18.26723242,14,73500000000,2112.142496,0,0
3.851270354,23.70652523,83.0299357,71313.02117,0,17.79778905,14,73500000000,2121.41205,0,0
4.03443978,24.29479952,76.29588215,65731.37144,0.94,16.78194148,14,73500000000,2117.628537,0,0
4.261553586,25.60019641,66.19029453,75001.49768,2.04,15.65987321,15,73500000000,2118.728766,0,0
4.069130895,24.32580978,72.77385134,72585.87976,0.51,16.12941847,15,73500000000,2116.299866,0,0
4.053881624,24.41232668,68.62673045,74998.2716,0.28,15.50775864,15,73500000000,2120.932905,0,0
4.259911774,24.86552935,68.26440815,67822.55382,-0.39,15.52771342,15,73500000000,2116.988144,0,0
4.159619512,24.77650818,68.98632931,73115.57482,0.38,15.8145064,16,73500000000,2118.813122,0,0
4.145316243,24.61091946,70.0074869,67039.47871,0.22,15.77819974,16,73500000000,2113.09394,0,0
4.273009265,24.70173914,68.19753175,74995.28539,0.04,15.38923526,16,73500000000,2120.309947,0,0
4.295542845,24.5612891,69.22283011,74995.3652,-0.36,15.6061829,16,73500000000,2116.690224,0,0
4.285504131,24.66393762,68.92790879,72201.96596,-0.2,15.57683466,17,73500000000,2120.847867,0,0
4.447029675,24.34366202,69.91428633,69641.18388,-0.5,15.63565757,17,73500000000,2112.385262,0,0
4.297649788,24.75155501,69.25137739,65050.66524,0.12,15.71605014,17,73500000000,2117.636098,0,0
3.653803657,24.11423577,72.8671018,57515.91605,-0.46,15.89361228,17,73500000000,2116.193761,0,0
3.643397073,24.159149,72.34895713,58472.37614,0.04,15.96414909,18,73500000000,2121.420714,0,0
3.415894985,24.0203047,75.54074388,48390.23857,-0.62,16.49200449,18,73500000000,2115.980984,0,0
3.584700645,23.80597104,78.26698919,42810.18006,-1,16.81447133,18,73500000000,2120.407075,0,0
3.968826881,23.64152073,80.30396027,46878.15535,-0.66,17.24433321,18,73500000000,2116.578625,0,0
3.89129064,24.00982131,79.47553668,53556.00061,0.04,17.46322805,19,73500000000,2119.352297,0,0
4.07230317,24.18834356,76.68498849,65818.29135,0.35,16.93744877,19,73500000000,2117.795077,0,0
4.043789525,23.84429831,81.08974052,56156.38042,0.2,17.53337643,19,73500000000,2120.122805,0,0
4.019949839,23.74591332,81.01164156,53250.99401,-0.16,17.34853365,19,73500000000,2120.551516,0,0
4.405871949,24.22018261,78.7513527,50442.51431,0.46,17.21462978,20,73500000000,2112.006483,0,0
8.865821758,24.21022656,78.42827,5833.103225,0.4,17.26829957,20,73500000000,2115.924454,0.418630877,6
8.96163447,24.12947132,77.53335122,8934.127766,0.4,17.13652762,20,73500000000,2116.329043,0.307458828,6
6.407822641,24.18823125,78.55096927,12707.34455,0.34,17.23803323,20,73500000000,2120.618747,0.072586958,5
5.267073916,24.09223821,79.01637311,30422.01078,0.18,17.24310121,20,73500000000,2113.923256,0,5
5.064371458,23.90909151,79.22643934,46022.56533,0.3,17.09099393,20,73500000000,2116.10189,0,0
5.375469363,23.76639697,80.48327924,26803.92361,-0.12,17.24966979,20,73500000000,2116.641452,0,5
5.457337541,23.89114192,80.23412928,27064.91939,-0.27,17.31996179,20,73500000000,2112.762569,0,5
5.550395428,23.84579134,81.09937997,31811.73329,-0.49,17.35989113,20,73500000000,2115.199502,0,5
5.42688845,23.81607921,81.37963432,38538.19673,-0.46,17.41118214,20,73500000000,2119.747123,0,0
6.126053542,23.6447112,80.52978031,30430.96571,-0.66,17.46081387,20,73500000000,2117.159756,0.062930788,6
5.88298026,23.67830803,80.82526872,34138.78846,-0.64,17.40461632,20,73500000000,2115.28942,0.036946038,6
6.319940767,23.69801648,80.19058161,33837.33948,-0.48,17.24759707,20,73500000000,2120.816831,0.062219959,6
5.832405825,23.80856197,79.82532669,41155.69491,-0.28,17.35288108,20,73500000000,2117.223252,0.036264558,6
5.379145497,23.83606483,80.22929616,42500.86872,-0.14,17.22978045,21,73500000000,2121.945179,0,6
5.130297431,23.47999083,82.03153007,39029.13035,-0.4,17.50979572,21,73500000000,2117.266742,0,0
6.176062694,23.1971756,84.25851383,25245.96045,-0.6,17.74952885,21,73500000000,2114.599454,0.064227837,6
4.825530719,23.34867446,84.39999036,35575.82299,-0.54,17.48974843,21,73500000000,2112.286946,0,6
6.30516952,23.45837634,82.28649808,23858.24982,-0.26,17.57678284,21,73500000000,2113.269711,0.06205456,6
7.660958935,23.42696167,82.52550052,13460.6639,-0.36,17.48280478,21,73500000000,2113.790395,0.485433254,6
7.710430218,23.44551147,83.82568657,14284.34177,-0.52,17.5248826,21,73500000000,2118.884818,0.628185345,6
4.443389877,23.50541559,83.57617424,57602.45319,0.06,17.84957528,22,73500000000,2121.077466,0,0
4.657709866,22.98555108,86.00420142,42984.57919,-0.14,17.77756422,22,73500000000,2114.675396,0,0
4.481230172,23.07858976,86.40817227,34533.77416,0,17.95374826,22,73500000000,2119.342337,0,0
4.561863659,22.87948417,87.40644517,36160.13849,-0.6,17.95091677,22,73500000000,2112.284207,0,0
4.703379166,23.03948694,87.36224712,32113.31121,-0.1,17.81390931,23,73500000000,2114.81438,0,0
5.071225607,22.64220447,89.14880925,22777.78818,-0.6,18.20891348,23,73500000000,2113.450768,0,0
4.79124814,22.61379247,89.15740435,28351.68974,-0.72,18.18451761,23,73500000000,2114.51816,0,0
5.906636186,23.08622973,86.94136073,30438.42676,0.09,18.01501066,23,73500000000,2113.106031,0.064236587,6
5.748008883,23.19900885,86.84076436,24265.09367,0.27,17.94430621,23,73500000000,2115.687074,0.101273975,6
6.60986616,23.06996203,86.28199343,13942.53675,0.3,17.99728363,23,73500000000,2119.918411,0.166199575,6
7.86195257,22.88134108,89.1555461,6382.16095,-0.02,18.15587283,23,73500000000,2121.158596,0.362729704,5
8.21435908,22.68717821,91.41811324,4349.777199,-0.36,18.39930117,23,73500000000,2121.899803,0.33961546,5
6.521740312,22.40934197,91.86368184,7398.403161,-0.46,18.39942382,23,73500000000,2120.506093,0.168562077,5
5.754567319,22.36468631,92.17947058,12184.11163,-0.56,18.34480868,23,73500000000,2115.557368,0.0355724,5
7.532499031,22.35177219,92.12972567,8461.904127,-0.7,18.14439355,23,73500000000,2118.709978,0.62512755,6
8.195873747,22.167552,92.11111126,5623.66193,-0.76,18.18043209,23,73500000000,2121.503078,1.204497629,6
5.483502174,21.92451369,92.66984932,18896.50311,-0.84,18.03408946,0,73500000000,2114.426698,0,5
5.297866652,22.03004547,92.35849877,36816.38966,-0.74,17.97563964,0,73500000000,2114.33477,0,5
7.501928855,22.36524261,90.68846293,14415.5884,-0.42,17.98149966,0,73500000000,2115.562105,0.064188854,8
5.314702302,22.4144672,92.93903958,23126.08328,0.1,18.46594919,0,73500000000,2119.50516,0,0
5.135603309,22.23770228,93.45919903,17373.59583,0.14,18.39831405,0,73500000000,2121.126616,0,0
5.21059068,22.5995934,92.83929205,8840.72131,0.1,18.53984031,1,73500000000,2120.361242,0,0
5.28359701,23.05734001,88.79698695,18338.94856,0.73,18.33546015,1,73500000000,2113.141364,0,0
